type,amount,otherPlayer,player,time
Money Transfer,1092788,Robso,Nuzia,1579268649
Money Transfer,2470569,Robso,Nuzia,1579278318
Money Transfer,46863748,Creacher,Nuzia,1579320917
Money Transfer,100000000,Nuzia,Robso,1572278856
Money Transfer,4717,Robso,Nuzia,1579265944
Money Transfer,25600,Usuri Brightcoin,Robso,1579106918
Garrison,1478600,Mission,Nuzia,1579037008
Garrison,1225600,Mission,Nuzia,1579432656
Money Transfer,778969,Robso,Nuzia,1579388773
Money Transfer,388900,Usuri Brightcoin,Creacher,1579234397
Money Transfer,4074600,Usuri Brightcoin,Nuzia,1578950518
