itemString,itemName,stackSize,quantity,price,otherPlayer,player,time,source
i:144346,?,1,1,1900000,Merchant,Creacher,1548454166,Vendor
i:21301,Green Helper Box,1,1,50000,Kaleandra,Creacher,1548531608,Auction
i:144346,?,1,1,2000000,Merchant,Robso,1548533563,Vendor
i:21308,Jingling Bell,1,1,49799,Ullwarth,Creacher,1548545980,Auction
i:136924,Felbat Pup,1,1,900000,Falanthas,Creacher,1548545983,Auction
i:127748,Cinder Pup,1,1,88999,Lantzu,Creacher,1548545988,Auction
i:152878,Enchanted Tiki Mask,1,2,11000000,Shamanje,Creacher,1548635908,Auction
i:159959,Nylon Thread,200,400,417,Maryos,Creacher,1548647634,Auction
i:159865::2:1683:4928,?,1,1,2497500,Maressa,Creacher,1548647694,Auction
i:159229::2:1683:4796,?,1,1,499000,Jed,Creacher,1548647703,Auction
i:152875,Gloom Dust,6,6,700,Merchant,Creacher,1548647760,Vendor
p:78:1:2,?,1,1,48550,Xarakvp,Creacher,1548697291,Auction
i:124439,Unbroken Tooth,8,8,1,Merchant,Robso,1548722677,Vendor
i:48118,Leaping Hatchling,1,1,2599999,Accowntant,Creacher,1548749059,Auction
i:164306,Plundered Waterspeaker's Spellblade,1,1,40099999,Kaelzoran,Creacher,1548772122,Auction
i:164533,Bloodwake Girdle,1,1,2687500,Lahna,Creacher,1548772207,Auction
i:108339,Dreamfoil Blade,7,7,12,Merchant,Robso,1548799015,Vendor
i:4470,Simple Wood,10,10,9,Merchant,Creacher,1548799523,Vendor
i:21559,?,1,3,25,Merchant,Robso,1548809292,Vendor
i:21558,?,1,3,25,Merchant,Robso,1548809293,Vendor
i:21557,?,1,2,25,Merchant,Robso,1548809294,Vendor
i:21571,?,1,1,100,Merchant,Robso,1548809296,Vendor
i:21576,?,1,1,100,Merchant,Robso,1548809297,Vendor
i:21574,?,1,1,100,Merchant,Robso,1548809298,Vendor
i:21721,?,1,1,15,Merchant,Robso,1548809595,Vendor
i:140560,?,1,2,1000000,Merchant,Robso,1548818521,Vendor
i:139717::1:3382,?,1,1,5000000,Merchant,Robso,1548818540,Vendor
i:159866::2:1711:4928,?,1,1,4498750,Megazörd,Creacher,1548819310,Auction
i:159866::2:1711:4928,?,1,1,4498750,Kiryuscatra,Creacher,1548819314,Auction
i:90146,Tinker's Kit,1,1,20000,Merchant,Robso,1548910595,Vendor
i:132185,Intact Skull,2,2,69289,Merchant,Robso,1548911408,Vendor
i:163784,Seafoam Coconut Water,5,10,5000,Merchant,Robso,1548917160,Vendor
i:163783,Mount Mugamba Spring Water,5,10,5000,Merchant,Robso,1548917163,Vendor
i:156872,?,1,2,10000,Merchant,Robso,1548917165,Vendor
i:159848,Blacktooth Bloodwine,1,2,32400,Merchant,Robso,1548917167,Vendor
i:164667::1:1704,Sinister Combatant's Mail Armguards of the Aurora,1,1,4105999,Targray,Creacher,1548946890,Auction
