itemString,itemName,stackSize,quantity,price,otherPlayer,player,time,source
i:134196::3:1485:1726:3528,?,1,1,412773,Merchant,Robso,1548536516,Vendor
i:134240::4:43:1485:1726:3528,?,1,1,430587,Merchant,Robso,1548536516,Vendor
i:134192::3:1485:1726:3528,?,1,1,302238,Merchant,Robso,1548536516,Vendor
i:134405::3:1482:1826:3337,?,1,1,415266,Merchant,Robso,1548536516,Vendor
i:132936::2:1741:1793:1000108,?,1,1,233422,Merchant,Robso,1548536519,Vendor
i:121730::1:767:1000110,?,1,1,267749,Merchant,Robso,1548536522,Vendor
i:129318::1:664:1000102,?,1,1,250053,Merchant,Robso,1548536523,Vendor
i:144114,?,1,1,119862,Merchant,Robso,1548536523,Vendor
i:137369::3:1476:1826:3528,?,1,1,490874,Merchant,Robso,1548536523,Vendor
i:141618::2:767:1734:1000109,?,1,1,486276,Merchant,Robso,1548536523,Vendor
i:143681,Slightly Burnt Food,62,62,195,Merchant,Robso,1548536530,Vendor
i:128304,Yseralline Seed,100,100,15485,Raenius,Creacher,1548544531,Auction
i:124104,Fjarnskaggl,65,65,138128,Raenius,Creacher,1548544709,Auction
i:3358,Khadgar's Whisker,50,50,40278,Fogâo,Creacher,1548545892,Auction
i:123919,Felslate,29,29,78565,Shadowkyl,Creacher,1548552112,Auction
i:14047,Runecloth,7,7,4653,Domain,Creacher,1548554638,Auction
i:109124,Frostweed,5,5,22705,Tastemyfist,Creacher,1548556816,Auction
i:37702,Crystallized Fire,5,5,163303,Ðluffya,Creacher,1548561258,Auction
i:72988,Windwool Cloth,4,4,7694,Aneron,Creacher,1548588284,Auction
i:151567,Lightweave Cloth,23,23,903,Edraur,Creacher,1548592507,Auction
i:109129,Talador Orchid,43,43,13015,Allyciakill,Creacher,1548594877,Auction
i:124437,Shal'dorei Silk,25,25,22228,Nicölë,Creacher,1548595637,Auction
i:124437,Shal'dorei Silk,32,32,22228,Nicölë,Creacher,1548595639,Auction
i:124106,Felwort,15,15,1662404,Ipostglyphsx,Creacher,1548596994,Auction
i:123918,Leystone Ore,33,33,45505,Vrumvrumm,Creacher,1548600037,Auction
i:151565,Astral Glory,21,21,188859,Vrumvrumm,Creacher,1548612458,Auction
i:3356,Kingsblood,30,30,139080,Stelä,Creacher,1548637188,Auction
i:152875,Gloom Dust,6,6,700,Merchant,Creacher,1548647756,Vendor
i:159959,Nylon Thread,200,400,1500,Merchant,Creacher,1548647774,Vendor
i:2447,Peacebloom,50,50,50255,Flamin,Creacher,1548648726,Auction
i:152875,Gloom Dust,6,6,85405,Kaylz,Creacher,1548651087,Auction
i:152877,Veiled Crystal,1,1,2659905,Surfista,Creacher,1548651529,Auction
i:4306,Silk Cloth,7,7,3332,Talaiü,Creacher,1548653161,Auction
i:10940,Strange Dust,10,10,9784,Fynah,Creacher,1548681482,Auction
i:113263,Sorcerous Earth,2,2,37905,Lanthanien,Creacher,1548682112,Auction
i:765,Silverleaf,50,50,98363,Chernobeca,Creacher,1548686853,Auction
i:8838,Sungrass,50,50,237405,Chernobeca,Creacher,1548690715,Auction
i:124102,Dreamleaf,10,10,123310,Myried,Creacher,1548713770,Auction
i:141958,?,2,2,25000,Merchant,Robso,1548722565,Vendor
i:133557,Salt & Pepper Shank,1,1,1250,Merchant,Robso,1548722566,Vendor
i:141531,?,1,1,0,Merchant,Robso,1548722566,Vendor
i:133576,Bear Tartare,8,8,1250,Merchant,Robso,1548722567,Vendor
i:133681,Crispy Bacon,4,4,1250,Merchant,Robso,1548722567,Vendor
i:140188,?,10,10,1250,Merchant,Robso,1548722567,Vendor
i:124439,Unbroken Tooth,8,8,1,Merchant,Robso,1548722674,Vendor
i:121331,?,1,1,750,Merchant,Robso,1548722720,Vendor
i:102278,?,1,2,50000,Merchant,Robso,1548748703,Vendor
i:124101,Aethril,30,30,93954,Elorys,Creacher,1548758678,Auction
i:37705,Crystallized Water,11,11,40104,Bonnye,Creacher,1548762615,Auction
i:124117,Lean Shank,56,56,30,Merchant,Creacher,1548771572,Vendor
i:133607,Silver Mackerel,45,45,105,Merchant,Creacher,1548771574,Vendor
i:124439,Unbroken Tooth,12,12,1,Merchant,Creacher,1548771577,Vendor
i:146757,?,4,4,1250,Merchant,Robso,1548798064,Vendor
i:72234,Green Tea Leaf,1,1,2337,Merchant,Robso,1548798069,Vendor
i:136654,Field Pack,10,10,5000,Merchant,Robso,1548798077,Vendor
i:124117,Lean Shank,48,48,30,Merchant,Nuzia,1548798538,Vendor
i:151567,Lightweave Cloth,8,8,1,Merchant,Nuzia,1548798540,Vendor
i:4338,Mageweave Cloth,32,32,250,Merchant,Nuzia,1548798542,Vendor
i:4306,Silk Cloth,24,24,150,Merchant,Nuzia,1548798543,Vendor
i:2589,Linen Cloth,2,2,13,Merchant,Nuzia,1548798560,Vendor
i:2592,Wool Cloth,2,2,33,Merchant,Nuzia,1548798561,Vendor
i:124121,Wildfowl Egg,5,5,30,Merchant,Nuzia,1548798562,Vendor
i:22644,Crunchy Spider Leg,1,1,12,Merchant,Nuzia,1548798567,Vendor
i:37700,Crystallized Air,4,4,600,Merchant,Nuzia,1548798571,Vendor
i:124119,Big Gamy Ribs,1,1,30,Merchant,Nuzia,1548798580,Vendor
i:3371,Crystal Vial,198,198,5,Merchant,Nuzia,1548798584,Vendor
i:39354,Light Parchment,10,10,1,Merchant,Nuzia,1548798586,Vendor
i:52188,Jeweler's Setting,5,5,3750,Merchant,Nuzia,1548798588,Vendor
i:124438,Unbroken Claw,5,5,1,Merchant,Nuzia,1548798590,Vendor
i:124439,Unbroken Tooth,5,5,1,Merchant,Nuzia,1548798590,Vendor
i:6218,Runed Copper Rod,1,1,24,Merchant,Nuzia,1548798595,Vendor
i:8948,Dried King Bolete,3,3,200,Merchant,Nuzia,1548798602,Vendor
i:141527,Slightly Rusted Canteen,10,10,1250,Merchant,Nuzia,1548798602,Vendor
i:127836,Ancient Rejuvenation Potion,1,1,250,Merchant,Nuzia,1548798604,Vendor
i:142117,Potion of Prolonged Power,9,9,5000,Merchant,Nuzia,1548798607,Vendor
i:140587,Defiled Augment Rune,1,1,93546,Merchant,Nuzia,1548798610,Vendor
i:85580,?,1,1,1,Merchant,Nuzia,1548798611,Vendor
i:16255,Formula: Enchant 2H Weapon - Major Versatility,1,1,7500,Merchant,Nuzia,1548798621,Vendor
i:116053,?,12,12,0,Merchant,Nuzia,1548798853,Vendor
i:115524,?,13,13,0,Merchant,Nuzia,1548798853,Vendor
i:112377,?,29,29,0,Merchant,Nuzia,1548798853,Vendor
i:137595,?,1,1,1500,Merchant,Nuzia,1548798853,Vendor
i:38682,Enchanting Vellum,195,195,10,Merchant,Nuzia,1548798854,Vendor
i:142336,Falcosaur Egg,2,2,15,Merchant,Robso,1548798961,Vendor
i:133607,Silver Mackerel,4,4,105,Merchant,Robso,1548798965,Vendor
i:124108,Mossgill Perch,2,2,625,Merchant,Robso,1548798968,Vendor
i:74866,Golden Carp,3,3,2500,Merchant,Robso,1548798969,Vendor
i:109129,Talador Orchid,6,6,2462,Merchant,Robso,1548798991,Vendor
i:72234,Green Tea Leaf,2,2,2337,Merchant,Robso,1548799005,Vendor
i:36904,Tiger Lily,1,1,750,Merchant,Robso,1548799009,Vendor
i:108339,Dreamfoil Blade,7,7,12,Merchant,Robso,1548799014,Vendor
i:3371,Crystal Vial,111,111,5,Merchant,Robso,1548799019,Vendor
i:2835,Rough Stone,12,12,2,Merchant,Robso,1548799027,Vendor
i:142335,Pristine Falcosaur Feather,4,4,118,Merchant,Robso,1548799030,Vendor
i:109118,Blackrock Ore,5,5,350,Merchant,Robso,1548799036,Vendor
i:108340,Golden Sansam Leaf,11,11,37,Merchant,Robso,1548799041,Vendor
